name,specialty,location,availability,phone,email,website
Dr. Alice Smith,Anxiety;Depression,New York,NY,Mon-Fri 9AM-5PM,555-1234,alice@example.com,http://alicesmith.com
Dr. John Doe,PTSD;Trauma,Los Angeles,CA,Tue-Sat 10AM-6PM,555-5678,john@example.com,http://johndoe.com
Dr. Emily Johnson,Couples Therapy;Family Counseling,Chicago,IL,Mon-Fri 8AM-4PM,555-2345,emily@example.com,http://emilyjohnson.com
Dr. Michael Brown,Addiction Recovery;Stress Management,Houston,TX,Wed-Sun 10AM-7PM,555-6789,michael@example.com,http://michaelbrown.com
Dr. Sarah Wilson,Child Therapy;ADHD,Miami,FL,Mon-Fri 9AM-5PM,555-3456,sarah@example.com,http://sarahwilson.com
Dr. Robert Martinez,Grief Counseling;Depression,Seattle,WA,Tue-Sat 9AM-6PM,555-7890,robert@example.com,http://robertmartinez.com
Dr. Jessica Taylor,Eating Disorders;Self-Esteem Issues,Denver,CO,Mon-Thu 10AM-4PM,555-4567,jessica@example.com,http://jessicataylor.com
Dr. William Anderson,Anger Management;Relationship Issues,San Diego,CA,Wed-Sun 8AM-3PM,555-8901,william@example.com,http://williamanderson.com
Dr. Olivia Clark,LGBTQ+ Counseling;Identity Issues,Austin,TX,Mon-Fri 11AM-7PM,555-5670,olivia@example.com,http://oliviaclark.com
Dr. Daniel White,Bipolar Disorder;Mood Disorders,Boston,MA,Tue-Sat 9AM-5PM,555-6780,daniel@example.com,http://danielwhite.com
